date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:35:43	116329/116329	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jul%202026%2017:10:45%20GMT	https://www.techforcetfi.com/	C:/My%20Web%20Sites/rilenetwork2/www.techforcetfi.com/index.html	(from )
17:35:44	123/123	---MCZ	200	added ('OK')	text/plain	date:Thu,%2030%20Jul%202026%2015:35:44%20GMT	https://www.techforcetfi.com/robots.txt		(from )
17:35:45	2129/2129	---MCZ	200	added ('OK')	application/json	date:Thu,%2030%20Jul%202026%2015:35:45%20GMT	https://www.techforcetfi.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.techforcetfi.com%2F	C:/My%20Web%20Sites/rilenetwork2/www.techforcetfi.com/wp-json/oembed/1.0/embedfd91.json	(from https://www.techforcetfi.com/)
17:35:45	2277/2277	---MC-	200	added ('OK')	application/rss+xml	etag:%22586f36112da2bc4e8315a82411e6fec7%22	https://www.techforcetfi.com/feed/	C:/My%20Web%20Sites/rilenetwork2/www.techforcetfi.com/feed/index.html	(from https://www.techforcetfi.com/)
17:35:45	1994/1994	---MC-	200	added ('OK')	application/rss+xml	etag:%22586f36112da2bc4e8315a82411e6fec7%22	https://www.techforcetfi.com/comments/feed/	C:/My%20Web%20Sites/rilenetwork2/www.techforcetfi.com/comments/feed/index.html	(from https://www.techforcetfi.com/)
17:35:46	2283/2283	---MCZ	200	added ('OK')	text/xml	date:Thu,%2030%20Jul%202026%2015:35:47%20GMT	https://www.techforcetfi.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.techforcetfi.com%2F&format=xml	C:/My%20Web%20Sites/rilenetwork2/www.techforcetfi.com/wp-json/oembed/1.0/embed18f0	(from https://www.techforcetfi.com/)
17:35:46	5496/5496	---MCZ	200	added ('OK')	text/css	etag:W/%226a14828e-1578%22	https://www.techforcetfi.com/wp-content/themes/hello-elementor/assets/css/reset.css?ver=3.4.9	C:/My%20Web%20Sites/rilenetwork2/www.techforcetfi.com/wp-content/themes/hello-elementor/assets/css/reset08cb.css	(from https://www.techforcetfi.com/)
17:35:46	5097/5097	---MCZ	200	added ('OK')	text/css	etag:W/%226a14828e-13e9%22	https://www.techforcetfi.com/wp-content/themes/hello-elementor/assets/css/theme.css?ver=3.4.9	C:/My%20Web%20Sites/rilenetwork2/www.techforcetfi.com/wp-content/themes/hello-elementor/assets/css/theme08cb.css	(from https://www.techforcetfi.com/)
17:35:46	7182/7182	---MCZ	200	added ('OK')	text/css	etag:W/%226a14828e-1c0e%22	https://www.techforcetfi.com/wp-content/themes/hello-elementor/assets/css/header-footer.css?ver=3.4.9	C:/My%20Web%20Sites/rilenetwork2/www.techforcetfi.com/wp-content/themes/hello-elementor/assets/css/header-footer08cb.css	(from https://www.techforcetfi.com/)
17:35:47	54666/54666	---MCZ	200	added ('OK')	text/css	etag:W/%226a47a562-d58a%22	https://www.techforcetfi.com/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=4.1.4	C:/My%20Web%20Sites/rilenetwork2/www.techforcetfi.com/wp-content/plugins/elementor/assets/css/frontend.mineda1.css	(from https://www.techforcetfi.com/)
